# ----------------------------------------
# OXO Solutions Website
# Pages
# 20210101-20210302
# ----------------------------------------

Page,Page Views,Unique Page Views,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/,860,676,00:02:07,639,54.46%,50.70%,₹0.00
/avoid-an-excessive-dom-size/,698,676,00:06:28,676,94.23%,93.84%,₹0.00
/opening/,394,279,00:00:56,171,38.60%,33.76%,₹0.00
/opening/python-developer/,276,248,00:01:06,229,83.41%,77.17%,₹0.00
/opening/deep-learning-intern/,256,239,00:02:00,216,67.59%,62.50%,₹0.00
/inline-small-javascript/,253,233,00:04:16,231,93.07%,91.30%,₹0.00
/opening/data-scientist/,205,181,00:01:23,147,92.52%,75.61%,₹0.00
/career/,155,107,00:00:59,51,35.29%,29.68%,₹0.00
/contact/,123,108,00:01:26,31,70.97%,67.48%,₹0.00
/opening/internship-in-web-designing/,108,99,00:01:30,74,87.84%,68.52%,₹0.00
/opening/junior-web-designer/,105,97,00:00:54,73,87.67%,66.67%,₹0.00
/blog/,100,56,00:01:34,6,33.33%,26.00%,₹0.00
/opening/mobile-application-developer/,98,91,00:01:19,67,97.01%,76.53%,₹0.00
/avoid-css-import/,94,92,00:00:38,92,96.74%,96.81%,₹0.00
/opening/digital-marketing-intern/,92,86,00:01:31,74,90.54%,79.35%,₹0.00
/opening/technical-support/,92,87,00:02:13,75,93.33%,79.35%,₹0.00
/opening/digital-marketing-manager/,90,85,00:01:23,65,93.85%,71.11%,₹0.00
/opening/quality-assurance/,83,75,00:00:28,62,91.94%,74.70%,₹0.00
/career/internship/,81,75,00:02:44,33,87.88%,51.85%,₹0.00
/about/,80,60,00:01:10,10,90.00%,37.50%,₹0.00
/opening/php-developer/,78,74,00:01:25,58,91.38%,80.77%,₹0.00
/opening/senior-web-designer/,77,73,00:00:46,54,90.74%,66.23%,₹0.00
/opening/graphic-designer/,75,72,00:01:46,58,91.38%,77.33%,₹0.00
/opening/senior-laravel-developer/,72,69,00:00:34,52,90.38%,69.44%,₹0.00
/opening/full-stack-developer/,70,68,00:00:38,47,100.00%,78.57%,₹0.00
/services/,70,60,00:01:32,9,77.78%,37.14%,₹0.00
/opening/ui-designer/,69,65,00:00:30,54,94.44%,79.71%,₹0.00
/minify-html/,60,56,00:12:57,53,90.57%,88.33%,₹0.00
/solutions/,59,48,00:00:16,15,86.67%,35.59%,₹0.00
/13-key-points-to-be-considered-before-buying-web-hosting/,55,50,00:06:23,39,94.87%,78.18%,₹0.00
/products/,54,46,00:01:13,5,80.00%,35.19%,₹0.00
/portfolio/,49,41,00:01:11,6,83.33%,32.65%,₹0.00
/affiliate-program/,47,42,00:01:16,42,80.95%,80.85%,₹0.00
/support/,39,31,00:02:44,8,87.50%,46.15%,₹0.00
/how-to-enable-gzip-compression/,34,32,00:09:33,27,92.59%,91.18%,₹0.00
/product/customers-port/,34,30,00:00:39,25,84.00%,73.53%,₹0.00
/blog/page/2/,32,10,00:01:47,0,0.00%,0.00%,₹0.00
